bridge_deck,dew_point,wind_chill,wet_bulb,air_temp,relative_humidity,wind_speed
-11.72,-23.07,-16.49,-14.15,-12.5,40.97,1.74
-11.15,-24.62,-16.96,-14.31,-12.5,35.7,1.94
3.97,-10.94,4.42,0,-12.49,30.2,1.36
3.23,-13.16,2.14,-1.97,-12.46,30.22,0.93
-11.25,-24.3,-15.42,-14.24,-12.46,36.59,1.31
2.98,-13.14,1.96,-1.97,-12.45,30.28,1.05
8.78,-6.06,10.54,4.16,-12.45,30.36,1.3
-10.43,-32.2,-21.22,-14.78,-12.45,17.57,6.12
-11.06,-24.3,-16.03,-14.23,-12.45,36.56,1.58
4.91,-13.2,2.01,-2.05,-12.41,30.36,1.01
-13.87,-23.1,-18.12,-14.09,-12.41,40.57,2.8
-13.92,-23.09,-18.31,-14.09,-12.4,40.57,2.9
-3.34,-29.92,-21.29,-14.61,-12.39,21.72,5.83
-11.6,-25.5,-15.93,-14.28,-12.37,32.64,1.53
-11.19,-24.4,-15.85,-14.17,-12.36,35.98,1.43
-11.01,-24.38,-16.12,-14.15,-12.34,35.98,1.67
-13.85,-23.18,-17.41,-14.04,-12.33,40.04,2.42
3.85,-10.93,4.31,-0.05,-12.3,30.37,1.31
-3.03,-30.03,-21.15,-14.52,-12.27,21.29,5.89
-13.53,-23.5,-15.39,-13.98,-12.22,38.56,1.35
-13.71,-23.42,-15.41,-13.98,-12.22,38.84,1.39
-13.23,-20.89,-17.44,-13.69,-12.22,48.5,2.25
-10.28,-31.79,-20.88,-14.58,-12.22,17.94,6.04
-13.58,-23.68,-15.61,-13.99,-12.21,37.94,1.48
-13.83,-23.13,-16.27,-13.94,-12.21,39.81,1.77
-10.89,-24.18,-17.03,-14.03,-12.21,36.28,2.32
-13.83,-23.17,-17.04,-13.93,-12.2,39.64,2.17
-10.96,-24.46,-16.78,-14.04,-12.2,35.34,2.02
-13.85,-23.19,-17.34,-13.93,-12.19,39.55,2.41
-13.81,-23.3,-16.25,-13.94,-12.19,39.16,1.8
-13.46,-23.43,-17.48,-13.94,-12.18,38.68,2.61
-13.84,-23.11,-16.66,-13.9,-12.16,39.73,1.99
-13.76,-23.38,-15.82,-13.89,-12.12,38.66,1.57
-10.54,-23.95,-17.17,-13.94,-12.12,36.75,2.52
-10.58,-23.97,-16.86,-13.93,-12.11,36.64,2.18
-13.69,-23.53,-15.87,-13.87,-12.07,37.98,1.66
-10.62,-24.16,-16.62,-13.89,-12.04,35.85,2.01
-13.7,-23.43,-13.84,-13.82,-12.02,38.19,0.9
-13.66,-23.52,-15.19,-13.8,-11.99,37.8,1.34
-10.11,-31.5,-20.37,-14.38,-11.99,18.11,5.66
-10.66,-24.27,-16.28,-13.85,-11.97,35.29,1.85
-13.32,-23.39,-19.24,-13.74,-11.93,38.03,4.3
-10.74,-24.5,-15.78,-13.82,-11.91,34.4,1.69
-13.31,-23.84,-18.93,-13.75,-11.88,36.41,4.1
-13.04,-24.15,-18.15,-13.77,-11.88,35.41,3.39
-13.19,-23.78,-18.68,-13.73,-11.87,36.56,3.85
-13.1,-23.81,-18.25,-13.73,-11.87,36.47,3.4
-10.29,-24.45,-16.59,-13.79,-11.87,34.47,2.18
-13.3,-23.55,-19.77,-13.69,-11.85,37.25,4.93
-9.93,-31.86,-21.21,-14.26,-11.83,17.27,7.33
-10.24,-24.48,-16.57,-13.75,-11.82,34.24,2.28
-13.28,-23.87,-18.68,-13.67,-11.79,36.03,3.88
-13.12,-23.92,-18.63,-13.68,-11.79,35.88,3.82
-13.22,-23.87,-18.86,-13.67,-11.78,36.03,4.08
-13.18,-23.51,-18.97,-13.62,-11.76,37.14,4.1
-10.07,-23.86,-15.77,-13.64,-11.75,35.97,1.78
-10.02,-23.64,-16.42,-13.61,-11.75,36.66,2.11
-10.12,-24.09,-16.66,-13.65,-11.74,35.23,2.3
-12.95,-24.21,-18.01,-13.66,-11.73,34.8,3.4
-9.58,-23.72,-16.49,-13.55,-11.67,36.19,2.3
-12.83,-24.26,-17.78,-13.61,-11.66,34.44,3.31
-9.75,-31.85,-20.78,-14.1,-11.62,16.99,6.94
-9.83,-23.7,-15.52,-13.51,-11.62,36.11,1.74
-10.18,-24.28,-15.61,-13.56,-11.61,34.27,1.78
-9.8,-23.79,-15.73,-13.52,-11.61,35.79,1.86
-9.51,-23.5,-16,-13.48,-11.61,36.71,2.06
-10.15,-24.13,-16.4,-13.53,-11.59,34.67,2.17
-9.44,-23.52,-16.02,-13.43,-11.53,36.43,2.09
-9.6,-23.92,-16.49,-13.46,-11.52,35.12,2.3
-9.4,-23.57,-16.08,-13.42,-11.51,36.21,2.15
-12.76,-24.56,-18.23,-13.51,-11.5,33.13,3.89
-9.55,-32.04,-21.23,-14,-11.49,16.53,8.16
-9.69,-23.95,-15.51,-13.41,-11.45,34.84,1.77
-9.31,-23.76,-16.01,-13.38,-11.45,35.41,2.19
-12.69,-24.68,-18.62,-13.43,-11.39,32.48,4.53
-9.06,-23.11,-14.77,-13.25,-11.36,37.26,1.42
-9.27,-23.91,-15.97,-13.28,-11.3,34.54,2.2
-12.57,-25.34,-17.37,-13.41,-11.28,30.34,3.53
-9.33,-31.84,-20.76,-13.8,-11.24,16.51,7.93
-12.48,-20.4,-16.46,-12.83,-11.21,46.63,2.16
-12.62,-25.11,-17.89,-13.32,-11.2,30.76,3.74
-12.67,-24.82,-18.14,-13.25,-11.14,31.43,4.2
-2.1,-29.19,-20.05,-13.5,-11.05,20.9,6.06
-9.1,-31.03,-19.67,-13.59,-11.03,17.53,6.5
-12.46,-25.17,-17.4,-13.17,-11,30.11,3.57
-9.04,-24.51,-15.85,-13.1,-11,31.97,2.39
-1.86,-29.14,-19.53,-13.45,-10.99,20.9,5.81
-12.3,-25.52,-17.86,-13.17,-10.97,29.12,4.26
-12.4,-25.43,-17.85,-13.16,-10.96,29.33,4.09
-12.32,-25.2,-18.5,-13.14,-10.96,29.94,4.85
-8.99,-24.78,-15.17,-13.05,-10.91,31,2.03
-12.45,-25.34,-17.88,-13.1,-10.89,29.39,4.15
-8.9,-31.13,-19.7,-13.47,-10.88,17.16,6.92
-8.85,-25.1,-14.33,-13.02,-10.84,29.93,1.64
-12.22,-25.2,-17.6,-12.97,-10.75,29.44,4.15
-8.72,-25.34,-14.07,-12.96,-10.73,29.03,1.56
-12.12,-26.25,-16.77,-13,-10.68,26.63,3.42
2.77,-12.84,2.32,-1.77,-10.67,30.41,1.4
-12.19,-25.17,-17.15,-12.91,-10.67,29.36,3.74
-11.99,-25.64,-17.37,-12.95,-10.67,28.13,4.01
-8.68,-30.8,-19.01,-13.29,-10.66,17.41,6.27
-8.56,-24.8,-13.98,-12.86,-10.66,30.3,1.59
-12.17,-26.02,-16.93,-12.92,-10.6,27.02,3.54
-7.11,-22.62,-14.93,-12.61,-10.6,36.65,1.85
-12.06,-24.94,-17.03,-12.83,-10.59,29.78,3.62
-1.21,-28.97,-18.47,-13.1,-10.56,20.52,5.48
-11.23,-21.07,-17.06,-12.39,-10.53,41.7,3.41
-11.9,-26.31,-17.5,-12.89,-10.52,26.14,4.37
-6.62,-21.83,-14.62,-12.41,-10.46,38.84,1.88
12.76,-6.18,11.51,4.19,-10.44,29.72,0.99
-11.86,-26.53,-17.41,-12.83,-10.43,25.45,4.48
-6.02,-23.56,-15.82,-12.57,-10.43,33.26,2.75
-8.47,-30.38,-18.41,-13.05,-10.39,17.73,5.82
-1.13,-29.12,-18.69,-12.92,-10.32,19.86,5.77
-11.79,-26.21,-16.45,-12.71,-10.31,25.96,3.55
-11.82,-26.3,-16.87,-12.71,-10.3,25.73,3.91
-3.96,-19.47,-6.6,-7.58,-10.29,29.72,1.46
15.24,-4.69,13.05,5.46,-10.29,29.72,1.13
-11.84,-26.43,-17.45,-12.71,-10.29,25.4,4.53
-11.77,-24.31,-15.35,-12.51,-10.25,30.67,2.68
13.69,-5.76,11.4,4.55,-10.21,29.71,1.29
-8.25,-30.11,-18.34,-12.9,-10.21,17.95,6.01
-11.31,-26.48,-15.99,-12.65,-10.2,25.11,3.33
-11.53,-23.44,-15.85,-12.36,-10.16,32.92,3.13
-0.92,-29.17,-18.11,-12.79,-10.14,19.49,5.78
-8.03,-29.89,-17.97,-12.83,-10.14,18.22,5.7
-7.85,-25.61,-13.49,-12.52,-10.14,27.04,1.62
-11.67,-23.67,-14.33,-12.34,-10.11,32.11,2.03
-11.62,-22.13,-14.18,-12.17,-10.1,36.77,1.95
-4.04,-19.63,-6.19,-7.7,-10.09,29.64,1.16
-11.48,-22.75,-15.39,-12.23,-10.09,34.78,2.84
-7,-26.1,-15.52,-12.46,-10.02,25.61,2.98
-6.9,-26.24,-15.47,-12.48,-10.02,25.31,3.11
-7.19,-26.2,-15.49,-12.47,-10.01,25.37,2.94
-7.1,-26.04,-15.47,-12.46,-10.01,25.75,2.93
15.29,-4.87,12.2,5.32,-10,29.63,1.2
-11.36,-23.59,-15.51,-12.25,-10,32.07,2.8
-11.42,-21.98,-14.95,-12.04,-9.95,36.79,2.59
-7.34,-26.82,-15.01,-12.47,-9.95,23.87,2.59
-11.2,-26.88,-16.1,-12.46,-9.92,23.69,3.5
-7.4,-26.56,-13.28,-12.4,-9.89,24.32,1.58
-6.81,-26.29,-15.31,-12.37,-9.87,24.88,3.06
-4.57,-23.18,-16.18,-12.09,-9.86,32.9,3.59
-11.04,-25.69,-16.21,-12.32,-9.85,26.24,3.86
13.24,-5.83,11.06,4.53,-9.84,29.55,1.23
-0.74,-29.13,-17.83,-12.53,-9.82,19.07,6.08
-7.78,-30.41,-18.38,-12.61,-9.82,16.91,6.86
-0.97,-28.35,-17.98,-12.46,-9.8,20.47,5.25
2.78,-12.02,3.77,-0.73,-9.78,29.39,1.15
-10.95,-26.5,-16.45,-12.29,-9.73,24.15,4.37
-8.29,-24.99,-13.29,-12.7,-9.72,29.3,1.38
-10.77,-23.44,-15.12,-12.01,-9.72,31.78,2.97
-4.07,-23.67,-16.05,-12.03,-9.72,31.14,3.67
-6.75,-26.34,-15.23,-12.25,-9.72,24.48,3.01
-6.66,-26.28,-15.56,-12.25,-9.72,24.6,3.41
-10.92,-25.86,-15.73,-12.22,-9.71,25.55,3.48
-7.52,-30.42,-18.32,-12.5,-9.69,16.71,7.13
-10.2,-21.64,-16.88,-11.79,-9.67,37.09,4.23
-10.64,-24.74,-15.3,-12.07,-9.65,28.12,3.31
-11.11,-26.83,-16.15,-12.21,-9.6,23.19,3.89
-10.26,-24.92,-14.56,-12.04,-9.58,27.54,2.7
-6.58,-26.36,-15.79,-12.15,-9.58,24.17,3.69
-6.48,-26.21,-15.49,-12.13,-9.57,24.5,3.45
-10.55,-17.16,-16.31,-11.11,-9.56,53.98,4.27
-3.68,-23.84,-16.53,-11.92,-9.56,30.28,4.41
-10.91,-26.51,-16.44,-12.15,-9.55,23.79,4.4
-10.4,-17.39,-16.45,-11.11,-9.51,52.73,4.48
-6.37,-26.23,-14.93,-12.08,-9.51,24.32,3.08
-10.47,-25.87,-15.05,-12.05,-9.5,25.12,3.19
-10.37,-25.77,-14.99,-12.05,-9.5,25.33,2.93
-10.64,-17.06,-15.71,-11.05,-9.5,54.16,3.86
-10.54,-17.4,-15.28,-11.11,-9.5,52.62,3.4
-10.6,-17.42,-16.11,-11.1,-9.49,52.54,4.19
-10.54,-17.61,-15.45,-11.13,-9.49,51.69,3.48
-10.52,-26.41,-16.01,-12.08,-9.48,23.88,4.34
-7.24,-30.25,-18.22,-12.33,-9.47,16.7,7.4
-10.61,-16.77,-14.81,-10.97,-9.46,55.31,2.96
-10.4,-18.47,-16.16,-11.22,-9.45,47.88,4.38
-10.63,-16.48,-15.18,-10.9,-9.42,56.52,3.39
-10.57,-16.44,-15.15,-10.89,-9.42,56.68,3.28
-10.57,-16.75,-15.81,-10.94,-9.41,55.18,3.77
-10.55,-17.24,-15.95,-11.01,-9.41,52.94,3.99
-10.38,-18.75,-15.77,-11.23,-9.41,46.66,4.02
-10.16,-19.8,-16.46,-11.37,-9.41,42.61,4.81
-9.7,-20.09,-16.15,-11.41,-9.41,41.56,4.33
-9.67,-20.07,-16.05,-11.41,-9.41,41.64,4.34
-10.23,-19.43,-16.7,-11.32,-9.4,43.97,5.05
-10.18,-19.6,-16.48,-11.34,-9.4,43.34,4.75
-10.38,-19.04,-17.04,-11.26,-9.39,45.43,5.35
-10.32,-17.28,-16.49,-10.98,-9.37,52.62,4.62
-10.63,-16.47,-15.3,-10.84,-9.34,56.18,3.48
-10.34,-19.16,-16.06,-11.23,-9.33,44.74,4.3
-10.34,-18.92,-15.89,-11.19,-9.33,45.66,4.07
-10.12,-19.97,-15.95,-11.33,-9.33,41.74,4.51
-10.24,-18.81,-16.66,-11.17,-9.32,46.06,4.95
-0.77,-28.73,-16.69,-12.11,-9.31,19.02,4.74
-10.6,-16.71,-15.68,-10.85,-9.3,54.88,3.92
-10.43,-17.22,-14.77,-10.9,-9.26,52.45,3.12
-9.64,-20.1,-15.49,-11.29,-9.26,41.04,3.82
-9.54,-20.12,-15.48,-11.29,-9.26,40.98,3.83
-9.49,-20.09,-16.02,-11.29,-9.26,41.1,4.52
-10.51,-27.05,-16.24,-11.95,-9.25,22.12,4.45
-10.38,-17.99,-16.09,-11,-9.25,49.11,4.48
-10.07,-27.57,-13.87,-11.98,-9.24,21.08,2.52
-6.9,-30.36,-17.88,-12.15,-9.23,16.21,7.3
-6.15,-26,-14.23,-11.82,-9.2,24.24,2.7
-9.5,-19.91,-15.85,-11.2,-9.18,41.48,4.22
-10.37,-18.43,-16.75,-11.01,-9.17,47.03,5.11
-0.73,-28.32,-16.53,-11.96,-9.15,19.51,4.93
-9.91,-19.08,-14.22,-11.06,-9.13,44.35,2.81
-9.85,-19.89,-14.92,-11.16,-9.12,41.32,3.46
-5.92,-26.01,-14.98,-11.76,-9.12,24.06,3.48
-9.43,-20.14,-15.56,-11.18,-9.11,40.44,4.1
-6.55,-30.27,-17.01,-12.04,-9.1,16.19,6.23
-9.82,-19.67,-15.38,-11.12,-9.1,42.06,3.89
-5.79,-26.29,-15.66,-11.77,-9.1,23.44,4.28
-1.28,-28.68,-16.97,-11.92,-9.06,18.75,5.92
-9.39,-20.29,-14.88,-11.15,-9.04,39.71,3.49
-10.08,-20.09,-15.59,-11.12,-9.03,40.36,4.4
-2.14,-24.37,-16.31,-11.55,-9.02,27.69,5.14
-10.12,-16.89,-16.08,-10.64,-8.99,52.78,4.62
-9.32,-20.27,-14.88,-11.09,-8.96,39.54,3.67
-9.92,-27.72,-13.99,-11.74,-8.91,20.25,2.92
-10.02,-20.23,-15.23,-11.02,-8.89,39.41,4.16
-6.13,-30.4,-17.25,-11.87,-8.87,15.71,7.04
-9.25,-20.34,-15.3,-11.02,-8.86,38.99,4.19
-1.45,-28.39,-15.91,-11.74,-8.85,18.94,5
-9.96,-19.89,-15.38,-10.96,-8.85,40.5,4.27
-9.24,-21.42,-14.6,-11.12,-8.82,35.39,2.98
-9.96,-20.08,-15.36,-10.95,-8.81,39.68,4.23
-9.9,-19.97,-15.75,-10.93,-8.81,40.08,4.78
-9.13,-20.26,-15.89,-10.96,-8.8,39.05,4.86
-9.04,-20.22,-15.56,-10.96,-8.8,39.2,4.53
-9.01,-20.18,-15.18,-10.95,-8.8,39.34,4.17
-1.82,-23.96,-16.07,-11.33,-8.78,28.19,5.13
-10.05,-20.31,-15.2,-10.92,-8.74,38.69,4.16
-5.14,-26.32,-15.5,-11.49,-8.74,22.7,4.61
-9.19,-20.23,-15.51,-10.9,-8.73,38.95,4.48
-8.93,-20.12,-15.51,-10.89,-8.73,39.32,4.81
-9.72,-26.75,-12.33,-11.51,-8.71,21.78,1.86
-9.36,-26.42,-12.19,-11.49,-8.71,22.47,1.76
-1.1,-23.64,-16.5,-11.25,-8.71,28.84,6.09
-9.23,-27.58,-12.91,-11.56,-8.69,20.15,2.15
-9.01,-27.74,-13.49,-11.56,-8.68,19.85,2.64
-4.35,-9.89,-11.03,-9,-8.68,90.99,1.24
-9.78,-27.71,-13.12,-11.53,-8.64,19.85,2.33
-9.55,-26.14,-11.81,-11.41,-8.64,22.92,1.6
-1.64,-23.42,-15.85,-11.17,-8.64,29.27,4.9
-9.47,-25.36,-12.23,-11.34,-8.63,24.56,1.78
-8.72,-27.89,-13.1,-11.51,-8.59,19.44,2.5
-1.3,-23.3,-16.09,-11.11,-8.57,29.39,5.48
-4.3,-9.75,-10.31,-8.88,-8.57,91.17,1.06
-8.89,-20.5,-15.51,-10.8,-8.56,37.53,4.96
-5.6,-30.55,-16.06,-11.61,-8.53,15.08,6.23
-4.29,-9.72,-10.87,-8.84,-8.52,91.02,1.17
-8.55,-28.11,-13.5,-11.42,-8.46,18.85,2.98
-9.8,-16.84,-15.63,-10.23,-8.46,50.86,4.88
-8.84,-20.3,-14.55,-10.71,-8.46,37.92,3.94
-8.74,-20.27,-14.32,-10.7,-8.46,37.98,3.7
-4.68,-26.43,-15.11,-11.29,-8.46,22.01,4.63
-8.78,-20.01,-14.58,-10.67,-8.45,38.84,3.87
-8.28,-21.66,-15.46,-10.85,-8.44,33.63,4.67
-1.78,-28.78,-14.97,-11.44,-8.43,17.67,4.57
-1.57,-27.99,-15.31,-11.37,-8.41,19.01,4.32
-8.7,-20.27,-14.12,-10.65,-8.38,37.79,3.59
-3.96,-9.51,-10.42,-8.64,-8.32,91.08,1.16
-4.13,-9.5,-9.93,-8.64,-8.32,91.16,0.99
-4.57,-25.82,-14.98,-11.12,-8.3,22.98,4.7
-8.66,-18.5,-13.27,-10.33,-8.27,43.58,2.87
-8.29,-27.94,-13.26,-11.23,-8.23,18.81,2.91
-8.44,-19.89,-14.08,-10.48,-8.23,38.56,3.7
-4.66,-30.18,-16.58,-11.36,-8.22,15.25,7.41
-8.54,-19.31,-14.1,-10.4,-8.22,40.51,3.71
-8.46,-20.23,-14.42,-10.52,-8.22,37.44,4.02
-4.49,-26.25,-15.08,-11.09,-8.21,21.94,4.99
-4.03,-9.49,-11.64,-8.54,-8.19,90.38,1.89
-9.63,-16.87,-14.71,-10.04,-8.19,49.69,4.06
-4.22,-9.33,-9.41,-8.49,-8.18,91.37,0.85
-0.46,-23.79,-15.42,-10.85,-8.17,27.31,5.16
-8.08,-27.91,-13.13,-11.17,-8.15,18.76,2.88
-8.49,-19.27,-14.4,-10.34,-8.14,40.38,4
-5.14,-29.8,-16.09,-11.27,-8.13,15.7,6.24
-8.4,-18.7,-13.64,-10.24,-8.11,42.3,3.35
-1.69,-28.09,-15.27,-11.14,-8.1,18.37,4.71
-3.35,-9.25,-11.24,-8.4,-8.08,91.32,1.6
-7.85,-27.95,-13.33,-11.12,-8.08,18.58,3.18
-0.18,-24.47,-16.08,-10.85,-8.08,25.5,6.38
-4.41,-25.3,-15.01,-10.9,-8.07,23.66,4.99
-4.19,-25.71,-15.15,-10.94,-8.07,22.79,5.21
-4.13,-9.23,-9.93,-8.38,-8.07,91.32,1.03
-4.37,-25.57,-15.49,-10.92,-8.06,23.06,5.66
-8.66,-13.62,-12.94,-9.35,-8.02,64.11,3
-8.14,-14.02,-14.97,-9.42,-8.01,61.99,5.11
-3.96,-24.92,-14.18,-10.83,-8.01,24.35,4.1
-1.94,-28.67,-14.76,-11.07,-7.96,17.22,4.39
-3.83,-24.99,-14.69,-10.8,-7.96,24.12,4.79
-3.18,-29.07,-15.25,-11.09,-7.95,16.57,5.64
-7.94,-20.76,-12.71,-10.38,-7.95,35.01,2.75
-2.87,-29.04,-15.21,-11.07,-7.93,16.6,5.75
-3.61,-29.61,-15.87,-11.11,-7.93,15.74,6.92
-4.14,-29.53,-15.95,-11.09,-7.92,15.83,6.56
-3.68,-25.51,-15.64,-10.81,-7.92,22.93,6.19
-3.4,-25.72,-15.5,-10.83,-7.92,22.51,6.07
-2.14,-28.95,-14.65,-11.04,-7.89,16.69,4.6
-7.33,-27.84,-12.57,-10.96,-7.88,18.48,2.71
0.17,-23.94,-15.61,-10.64,-7.87,26.33,5.76
-3.25,-25.93,-14.81,-10.8,-7.86,21.98,5.26
-2.58,-29.16,-13.97,-11.01,-7.83,16.28,4.3
-3.88,-28.94,-14.66,-10.98,-7.82,16.61,5.09
-8.15,-13.46,-10.9,-9.17,-7.82,63.92,1.67
-7.04,-27.87,-12.45,-10.9,-7.81,18.34,2.7
-8.09,-20.95,-11.9,-10.29,-7.8,34.06,2.23
-8.49,-13.3,-13.57,-9.11,-7.79,64.6,3.74
-8.5,-13.44,-11.76,-9.13,-7.78,63.85,2.22
-8.72,-13.38,-12.8,-9.12,-7.77,64.15,2.87
-6.81,-16.09,-10.09,-9.59,-7.76,51.27,1.27
-6.59,-15.41,-10.25,-9.48,-7.76,54.25,1.43
-6.61,-15.26,-10.47,-9.45,-7.76,54.94,1.45
-4.54,-28.82,-13.67,-10.92,-7.75,16.7,4.07
-7.97,-13.3,-11.45,-9.08,-7.75,64.45,1.9
-6.68,-16.81,-11.18,-9.7,-7.75,48.26,1.8
-6.76,-28.09,-12.9,-10.86,-7.74,17.87,3.11
-6.44,-28.51,-12.91,-10.89,-7.74,17.18,3.15
-8.58,-13.21,-12.25,-9.06,-7.74,64.83,2.8
-7.83,-13.62,-12.32,-9.14,-7.74,62.7,2.64
-7.56,-15.22,-11.88,-9.43,-7.74,55.02,2.22
-7.88,-13.43,-12.22,-9.1,-7.73,63.67,2.51
-7.51,-15.34,-11.52,-9.44,-7.73,54.45,2.06
-8.63,-15.37,-9.35,-9.46,-7.73,54.31,1.02
-3.16,-8.89,-9.03,-8.05,-7.73,91.43,0.81
-7.7,-14.43,-15.14,-9.28,-7.72,58.61,5.76
-8.67,-13.55,-13.62,-9.11,-7.71,62.95,3.9
-7.84,-13.49,-12.06,-9.08,-7.7,63.22,2.39
-7.39,-17.45,-14.72,-9.75,-7.7,45.57,5.26
-3.07,-25.72,-14.84,-10.66,-7.7,22.14,5.45
-3.85,-19.14,-5.44,-7.49,-7.68,30.41,0.94
-7.37,-21.65,-15.05,-10.27,-7.67,31.7,5.03
-6,-28.48,-13.42,-10.83,-7.66,17.13,3.66
-5.35,-28.43,-14.74,-10.82,-7.65,17.19,5.33
-8.67,-15.34,-9.89,-9.39,-7.65,54.1,1.2
-8.68,-15.37,-11.16,-9.39,-7.63,53.89,1.83
-7.95,-13.94,-15.2,-9.12,-7.63,60.58,5.63
-7.59,-17.64,-14.45,-9.73,-7.63,44.59,5.03
-2.89,-25.8,-14.86,-10.61,-7.63,21.85,5.59
-8.04,-13.29,-10.8,-8.99,-7.62,63.88,1.6
-7.42,-15.61,-11.59,-9.41,-7.62,52.79,2.32
-3.55,-28.78,-14.03,-10.81,-7.61,16.59,4.36
-2.25,-28.85,-13.68,-10.82,-7.61,16.47,3.8
-8.29,-13.16,-10.99,-8.95,-7.61,64.45,1.78
-7.8,-13.87,-11.48,-9.08,-7.59,60.81,2.15
-8.56,-15.44,-9.53,-9.37,-7.59,53.43,1.2
0.56,-24.27,-15.13,-10.45,-7.58,24.99,5.58
-2.59,-26.31,-15.49,-10.6,-7.56,20.75,7.07
-8.58,-13.25,-13.18,-8.94,-7.55,63.71,3.39
-8.67,-13.66,-13.84,-9.01,-7.55,61.65,4.17
-6.88,-16.58,-9.38,-9.51,-7.54,48.41,1.12
-6.85,-15.24,-9.83,-9.28,-7.54,54.07,1.18
-8.4,-13.24,-11.3,-8.91,-7.53,63.63,1.99
-8.37,-13.26,-11.33,-8.91,-7.53,63.55,2.05
-7.01,-14.94,-9.88,-9.22,-7.53,55.42,1.24
-4.16,-28.5,-14.51,-10.73,-7.52,16.9,4.9
-8.25,-13.14,-11.35,-8.89,-7.52,64.12,1.95
-7.55,-21.85,-11.64,-10.17,-7.52,30.81,2.16
1.08,-24.86,-15.02,-10.45,-7.52,23.59,5.69
-8.54,-12.96,-12.04,-8.84,-7.51,65.01,2.43
-7.6,-14.55,-12.38,-9.14,-7.51,57.12,2.89
-1.51,-29.32,-15.26,-10.77,-7.5,15.65,7.13
-1.87,-29,-16.03,-10.74,-7.49,16.1,7.79
